,X,Y,Stock,X1,Y1,category
1,-0.236059221,8.83E-30,A,-0.325859677,2.96E-27,A
2,-0.233470046,4.48E-29,AA,-0.319706717,4.38E-25,A
3,-0.23088087,2.23E-28,AAL,-0.104931242,5.74E-22,A
4,-0.228291695,1.09E-27,AAMC,-0.204387102,1.24E-21,A
5,-0.225859677,4.96E-27,AAME,-0.784588802,9.72E-17,A
6,-0.22570252,5.21E-27,AAN,-0.177514991,8.48E-16,A
7,-0.223113344,2.45E-26,AAOI,-0.172743308,7.63E-15,A
8,-0.220524169,1.13E-25,AAON,-0.168808762,3.78E-14,A
9,-0.219706717,2.38E-25,AAP,-0.16160938,8.94E-13,A
10,-0.217934993,5.10E-25,AAPL,-0.161567523,9.06E-13,A
11,-0.215345818,2.26E-24,AAT,-0.157507407,5.08E-12,A
12,-0.212756642,9.85E-24,AAU,-0.155874989,8.73E-12,A
13,-0.210167467,4.21E-23,AAWW,-0.153907716,2.06E-11,A
14,-0.207578292,1.76E-22,AAXN,-0.147838469,2.08E-10,A
15,-0.204989116,7.25E-22,ABBV,-0.144364349,8.20E-10,A
16,-0.204931242,7.74E-22,ABC,-0.136955683,1.15E-08,A
17,-0.204387102,1.24E-21,ABCB,-0.130384154,1.02E-07,A
18,-0.202399941,2.92E-21,ABEO,-0.125905469,4.49E-07,A
19,-0.199810765,1.16E-20,ABG,-0.125821755,4.60E-07,A
20,-0.19722159,4.49E-20,ABIO,-0.124859047,5.86E-07,A
21,-0.194632415,1.71E-19,ABM,-0.123812625,8.66E-07,A
22,-0.192043239,6.39E-19,ABMD,-0.121887209,1.50E-06,A
23,-0.189454064,2.34E-18,ABR,-0.120924501,2.10E-06,A
24,-0.186864888,8.43E-18,ABT,-0.117910806,5.09E-06,A
25,-0.184588802,2.72E-17,ABTX,-0.115441251,1.05E-05,A
26,-0.184275713,2.97E-17,ABUS,-0.115106396,1.14E-05,A
27,-0.181686538,1.03E-16,AC,-0.114101831,1.48E-05,A
28,-0.179097362,3.50E-16,ACAD,-0.111799703,2.75E-05,A
29,-0.177514991,8.48E-16,ACB,-0.110836995,3.80E-05,A
30,-0.176508187,1.16E-15,ACBI,-0.11050214,4.17E-05,A
31,-0.173919011,3.81E-15,ACC,-0.110418426,4.26E-05,A
32,-0.172743308,7.63E-15,ACCO,-0.109958001,4.77E-05,A
33,-0.171329836,1.22E-14,ACGL,-0.109204577,5.59E-05,A
34,-0.168808762,3.78E-14,ACHC,-0.108995293,6.03E-05,A
35,-0.16874066,3.84E-14,ACHV,-0.107948871,8.27E-05,A
36,-0.166151485,1.19E-13,ACIA,-0.107865157,8.45E-05,A
37,-0.16356231,3.59E-13,ACIU,-0.106107169,0.000131966,A
38,-0.16160938,8.94E-13,ACIW,-0.105563029,0.000154338,A
39,-0.161567523,9.06E-13,ACLS,-0.104516608,0.000197362,A
40,-0.160973134,1.07E-12,ACM,-0.10434918,0.000204245,A
41,-0.158383959,3.11E-12,ACMR,-0.102423764,0.000340685,A
42,-0.157507407,5.08E-12,ACN,-0.101879625,0.000382689,A
43,-0.155874989,8.73E-12,ACNB,-0.101502913,0.000411769,A
44,-0.155794783,8.91E-12,ACOR,-0.101377342,0.000424366,A
45,-0.153907716,2.06E-11,ACRE,-0.096940514,0.001270961,A
46,-0.153205608,2.50E-11,ACRS,-0.096689373,0.001335337,A
47,-0.150616433,6.89E-11,ACRX,-0.095140668,0.001949597,A
48,-0.148027257,1.86E-10,ACST,-0.094763957,0.002120362,A
49,-0.147838469,2.08E-10,ACTG,-0.094680243,0.00215831,A
50,-0.145438082,4.93E-10,ACU,-0.093257109,0.002935538,B
51,-0.144364349,8.20E-10,ACY,-0.093173395,0.003001312,B
52,-0.142848906,1.28E-09,ADBE,-0.093005968,0.00313286,B
53,-0.140259731,3.27E-09,ADC,-0.092880397,0.003231521,B
54,-0.137670556,8.18E-09,ADES,-0.092252544,0.003724824,B
55,-0.136955683,1.15E-08,ADI,-0.090996838,0.004749069,B
56,-0.13508138,2.01E-08,ADM,-0.090661983,0.005195989,B
57,-0.132492205,4.84E-08,ADMA,-0.090410842,0.00553118,B
58,-0.130384154,1.02E-07,ADMP,-0.09003413,0.006033965,B
59,-0.129903029,1.14E-07,ADMS,-0.089448134,0.006816075,B
60,-0.127313854,2.65E-07,ADNT,-0.088652853,0.007877511,B
61,-0.125905469,4.49E-07,ADP,-0.088359855,0.008371801,B
62,-0.125821755,4.60E-07,ADRO,-0.088234285,0.008650796,B
63,-0.124859047,5.86E-07,ADS,-0.088108714,0.00892979,B
64,-0.124724678,6.04E-07,ADSK,-0.08789943,0.009394781,B
65,-0.123812625,8.66E-07,ADSW,-0.087187863,0.01097575,B
66,-0.122135503,1.35E-06,ADT,-0.086936722,0.011533739,B
67,-0.121887209,1.50E-06,ADTN,-0.086434439,0.012649717,B
68,-0.120924501,2.10E-06,ADUS,-0.085681015,0.014612638,B
69,-0.119546328,2.95E-06,AFI,-0.085262447,0.01612965,B
70,-0.117910806,5.09E-06,AFL,-0.084885735,0.017494961,B
71,-0.116957152,6.34E-06,AFMD,-0.084174168,0.020073883,B
72,-0.115441251,1.05E-05,AG,-0.083085889,0.024477769,B
73,-0.115106396,1.14E-05,AGCO,-0.083085889,0.024477769,B
74,-0.114367977,1.34E-05,AGEN,-0.081955754,0.031024237,B
75,-0.114101831,1.48E-05,AGFS,-0.081537185,0.033448855,B
76,-0.111799703,2.75E-05,AGI,-0.081537185,0.033448855,B
77,-0.111778801,2.76E-05,AGIO,-0.081034903,0.036358397,B
78,-0.110836995,3.80E-05,AGLE,-0.080323336,0.041743348,B
79,-0.11050214,4.17E-05,AGM,-0.080072195,0.044021287,B
80,-0.110418426,4.26E-05,AGMH,-0.079653626,0.047817852,B
81,-0.109958001,4.77E-05,AGN,-0.079486199,0.049336478,B
82,-0.109204577,5.59E-05,AGNC,-0.079276914,0.05123476,B
83,-0.109189626,5.61E-05,AGO,-0.0791932,0.051994073,B
84,-0.108995293,6.03E-05,AGR,-0.078732775,0.056170295,B
85,-0.107948871,8.27E-05,AGRX,-0.078607204,0.057309264,B
86,-0.107865157,8.45E-05,AGS,-0.078481634,0.058448234,B
87,-0.106600451,0.000111685,AGTC,-0.078230492,0.060726173,B
88,-0.106107169,0.000131966,AGX,-0.078021208,0.063100527,B
89,-0.105563029,0.000154338,AGYS,-0.077016643,0.077076798,B
90,-0.104516608,0.000197362,AHC,-0.076974786,0.077659142,B
91,-0.10434918,0.000204245,AHH,-0.076807359,0.079988521,B
92,-0.104011275,0.000218138,AHPI,-0.076723645,0.08115321,B
93,-0.102423764,0.000340685,AHT,-0.076430647,0.085229622,B
94,-0.101879625,0.000382689,AI,-0.075802794,0.093964791,B
95,-0.101502913,0.000411769,AIG,-0.075635366,0.09629417,B
96,-0.1014221,0.000418007,AIHS,-0.075133084,0.106058828,B
97,-0.101377342,0.000424366,AIKI,-0.075091227,0.106933717,B
98,-0.098832924,0.000785873,AIM,-0.0749238,0.110433272,B
99,-0.096940514,0.001270961,AIMC,-0.074588945,0.117432381,B
100,-0.096689373,0.001335337,AIMT,-0.074547088,0.11830727,B
101,-0.096243749,0.001449565,AIN,-0.074421517,0.120931936,B
102,-0.095140668,0.001949597,AINC,-0.074421517,0.120931936,B
103,-0.094763957,0.002120362,AINV,-0.074295946,0.123556602,B
104,-0.094680243,0.00215831,AIR,-0.074128519,0.127056157,B
105,-0.093654574,0.002623251,AIRG,-0.073793664,0.134055266,B
106,-0.093257109,0.002935538,AIRI,-0.073375095,0.142804153,B
107,-0.093173395,0.003001312,AIT,-0.073165811,0.147178597,B
108,-0.093005968,0.00313286,AIV,-0.072872813,0.153976158,B
109,-0.092880397,0.003231521,AIZ,-0.072830956,0.155263349,B
110,-0.092252544,0.003724824,AJG,-0.072789099,0.156550541,B
111,-0.091065398,0.004657564,AJRD,-0.072747242,0.157837732,B
112,-0.090996838,0.004749069,AJX,-0.072537958,0.164273688,B
113,-0.090661983,0.005195989,AKAM,-0.07237053,0.169422454,B
114,-0.090410842,0.00553118,AKBA,-0.072328674,0.170709645,B
115,-0.09003413,0.006033965,AKCA,-0.072286817,0.171996836,B
116,-0.089448134,0.006816075,AKER,-0.071742677,0.188730324,B
117,-0.088652853,0.007877511,AKG,-0.07170082,0.190017515,B
118,-0.088476223,0.008113254,AKR,-0.071533393,0.19516628,B
119,-0.088359855,0.008371801,AKRX,-0.071365966,0.200315046,B
120,-0.088234285,0.008650796,AKTS,-0.071324109,0.201602237,B
121,-0.088108714,0.00892979,AL,-0.071282252,0.202889428,B
122,-0.08789943,0.009394781,ALB,-0.07090554,0.21447415,B
123,-0.087187863,0.01097575,ALBO,-0.070863683,0.215761341,B
124,-0.086936722,0.011533739,ALCO,-0.070696256,0.220910107,B
125,-0.086434439,0.012649717,ALDX,-0.070486971,0.227346063,B
126,-0.085887047,0.013865919,ALE,-0.070193973,0.238497333,B
127,-0.085681015,0.014612638,ALEX,-0.070068402,0.24406018,B
128,-0.085262447,0.01612965,ALG,-0.070068402,0.24406018,B
129,-0.084885735,0.017494961,ALGN,-0.069984689,0.247768744,B
130,-0.084174168,0.020073883,ALGT,-0.069817261,0.255185872,B
131,-0.083297872,0.023249831,ALIM,-0.069691691,0.260748718,B
132,-0.083085889,0.024477769,ALJJ,-0.069607977,0.264457283,B
133,-0.083085889,0.024477769,ALK,-0.069607977,0.264457283,B
134,-0.081955754,0.031024237,ALKS,-0.069314979,0.277437257,B
135,-0.081537185,0.033448855,ALL,-0.069147551,0.284854386,B
136,-0.081537185,0.033448855,ALLE,-0.069105694,0.286708668,B
137,-0.081034903,0.036358397,ALLT,-0.069063838,0.28856295,B
138,-0.080708696,0.038247993,ALLY,-0.068854553,0.297834361,B
139,-0.080323336,0.041743348,ALNA,-0.068812696,0.299688643,B
140,-0.080072195,0.044021287,ALNY,-0.068770839,0.301542925,B
141,-0.079653626,0.047817852,ALO,-0.068519698,0.312668617,B
142,-0.079486199,0.049336478,ALOT,-0.068519698,0.312668617,B
143,-0.079276914,0.05123476,ALPN,-0.068142986,0.329357156,B
144,-0.0791932,0.051994073,ALRM,-0.068059273,0.333065721,B
145,-0.078732775,0.056170295,ALRN,-0.067682561,0.351212821,B
146,-0.078607204,0.057309264,ALRS,-0.067096565,0.387822238,B
147,-0.078481634,0.058448234,ALSK,-0.067012851,0.393052155,B
148,-0.078230492,0.060726173,ALSN,-0.066929137,0.398282072,B
149,-0.078119521,0.061732721,ALT,-0.06676171,0.408741905,B
150,-0.078021208,0.063100527,ALTM,-0.066468712,0.427046614,B
151,-0.077016643,0.077076798,ALTR,-0.066426855,0.429661573,B
152,-0.076974786,0.077659142,ALV,-0.066301284,0.437506448,B
153,-0.076807359,0.079988521,ALX,-0.066133857,0.447966282,B
154,-0.076723645,0.08115321,ALXN,-0.065799002,0.468885949,B
155,-0.076430647,0.085229622,AM,-0.065506004,0.487190658,B
156,-0.075802794,0.093964791,AMAG,-0.065254862,0.502880408,B
157,-0.075635366,0.09629417,AMAT,-0.065087435,0.515387996,B
158,-0.075530346,0.097755298,AMBA,-0.06487815,0.533433985,B
159,-0.075133084,0.106058828,AMBC,-0.064836294,0.537043183,B
160,-0.075091227,0.106933717,AMC,-0.06475258,0.544261579,B
161,-0.0749238,0.110433272,AMCX,-0.06475258,0.544261579,B
162,-0.074588945,0.117432381,AMD,-0.064627009,0.555089173,B
163,-0.074547088,0.11830727,AME,-0.064627009,0.555089173,B
164,-0.074421517,0.120931936,AMED,-0.064585152,0.558698371,B
165,-0.074421517,0.120931936,AMEH,-0.064543295,0.562307568,B
166,-0.074295946,0.123556602,AMG,-0.064543295,0.562307568,B
167,-0.074128519,0.127056157,AMGN,-0.064292154,0.583962756,B
168,-0.073793664,0.134055266,AMH,-0.064166584,0.59479035,B
169,-0.073375095,0.142804153,AMKR,-0.063789872,0.627273131,B
170,-0.073165811,0.147178597,AMN,-0.063287589,0.670583505,B
171,-0.07294117,0.151874018,AMNB,-0.063162019,0.681411099,B
172,-0.072872813,0.153976158,AMOT,-0.063078305,0.688629495,B
173,-0.072830956,0.155263349,AMP,-0.062952734,0.699457088,B
174,-0.072789099,0.156550541,AMPE,-0.062910878,0.703066286,B
175,-0.072747242,0.157837732,AMPH,-0.062701593,0.721112276,B
176,-0.072537958,0.164273688,AMPY,-0.062450452,0.74681754,B
177,-0.07237053,0.169422454,AMRB,-0.062366738,0.756565823,B
178,-0.072328674,0.170709645,AMRC,-0.062324881,0.761439964,B
179,-0.072286817,0.171996836,AMRH,-0.062324881,0.761439964,B
180,-0.071742677,0.188730324,AMRK,-0.062199311,0.776062389,B
181,-0.07170082,0.190017515,AMRS,-0.062157454,0.78093653,B
182,-0.071533393,0.19516628,AMRX,-0.061990026,0.800433096,B
183,-0.071365966,0.200315046,AMS,-0.061864456,0.815055521,B
184,-0.071324109,0.201602237,AMSC,-0.061864456,0.815055521,B
185,-0.071282252,0.202889428,AMSF,-0.061487744,0.858922794,B
186,-0.07090554,0.21447415,AMSWA,-0.061445887,0.863796936,B
187,-0.070863683,0.215761341,AMT,-0.06140403,0.868671077,B
188,-0.070696256,0.220910107,AMTD,-0.061236603,0.888167643,B
189,-0.070486971,0.227346063,AMTX,-0.061152889,0.897915926,B
190,-0.070351995,0.231496885,AMWD,-0.061069175,0.907664209,B
191,-0.070193973,0.238497333,AMZN,-0.061069175,0.907664209,B
192,-0.070068402,0.24406018,AN,-0.060985461,0.917412492,B
193,-0.070068402,0.24406018,ANAB,-0.060943605,0.922286634,B
194,-0.069984689,0.247768744,ANAT,-0.06060875,0.961279766,B
195,-0.069817261,0.255185872,ANDE,-0.060315751,0.995398756,B
196,-0.069691691,0.260748718,ANET,-0.060273895,1.000272898,B
197,-0.069607977,0.264457283,ANF,-0.060190181,1.010021181,B
198,-0.069607977,0.264457283,ANGI,-0.059897183,1.047807202,B
199,-0.069314979,0.277437257,ANGO,-0.059855326,1.05424581,B
200,-0.069147551,0.284854386,ANH,-0.059604185,1.092877458,B
201,-0.069105694,0.286708668,ANIK,-0.059520471,1.105754674,B
202,-0.069063838,0.28856295,ANIP,-0.05926933,1.144386322,B
203,-0.068854553,0.297834361,ANIX,-0.05926933,1.144386322,B
204,-0.068812696,0.299688643,ANSS,-0.059101902,1.170140754,B
205,-0.068770839,0.301542925,ANTM,-0.059018188,1.18301797,B
206,-0.068519698,0.312668617,ANY,-0.058850761,1.208772402,B
207,-0.068519698,0.312668617,AOBC,-0.058808904,1.21521101,B
208,-0.068142986,0.329357156,AON,-0.058767047,1.221649618,B
209,-0.068059273,0.333065721,AOS,-0.058767047,1.221649618,B
210,-0.067762819,0.346198761,AOSL,-0.05859962,1.24740405,B
211,-0.067682561,0.351212821,AP,-0.058557763,1.253842658,B
212,-0.067096565,0.387822238,APA,-0.058515906,1.260281266,B
213,-0.067012851,0.393052155,APAM,-0.058348479,1.286035698,B
214,-0.066929137,0.398282072,APD,-0.058264765,1.298912914,B
215,-0.06676171,0.408741905,APDN,-0.058097337,1.324667346,B
216,-0.066468712,0.427046614,APEI,-0.057971767,1.343983169,B
217,-0.066426855,0.429661573,APEN,-0.057846196,1.363298993,B
218,-0.066301284,0.437506448,APH,-0.057804339,1.369737601,B
219,-0.066133857,0.447966282,APHA,-0.057804339,1.369737601,B
220,-0.065799002,0.468885949,APLE,-0.057720625,1.382614817,B
221,-0.065506004,0.487190658,APLS,-0.057720625,1.382614817,B
222,-0.065254862,0.502880408,APO,-0.057469484,1.421246465,B
223,-0.065173644,0.507954425,APOG,-0.057176486,1.476618221,B
224,-0.065087435,0.515387996,APPF,-0.057134629,1.484934569,B
225,-0.06487815,0.533433985,APPN,-0.057134629,1.484934569,B
226,-0.064836294,0.537043183,APPS,-0.057050916,1.501567265,B
227,-0.06475258,0.544261579,APRN,-0.056967202,1.518199962,B
228,-0.06475258,0.544261579,APT,-0.056967202,1.518199962,B
229,-0.064627009,0.555089173,APTO,-0.056967202,1.518199962,B
230,-0.064627009,0.555089173,ARA,-0.056883488,1.534832658,B
231,-0.064585152,0.558698371,ARAV,-0.05659049,1.593047096,B
232,-0.064543295,0.562307568,ARAY,-0.056548633,1.601363444,B
233,-0.064543295,0.562307568,ARC,-0.056548633,1.601363444,C
234,-0.064292154,0.583962756,ARCC,-0.056423062,1.626312488,C
235,-0.064166584,0.59479035,ARCH,-0.056423062,1.626312488,C
236,-0.063789872,0.627273131,ARCO,-0.056004494,1.70947597,C
237,-0.063287589,0.670583505,ARCT,-0.055878923,1.734425015,C
238,-0.063162019,0.681411099,ARD,-0.055544068,1.800955801,C
239,-0.063078305,0.688629495,ARDX,-0.055376641,1.834221193,C
240,-0.062952734,0.699457088,ARE,-0.055292927,1.85085389,C
241,-0.062910878,0.703066286,ARES,-0.055292927,1.85085389,C
242,-0.062701593,0.721112276,ARGO,-0.05525107,1.859170238,C
243,-0.062584469,0.73121159,ARI,-0.055209213,1.867486586,C
244,-0.062450452,0.74681754,ARKR,-0.055167356,1.875802935,C
245,-0.062366738,0.756565823,ARL,-0.054958072,1.917384676,C
246,-0.062324881,0.761439964,ARMK,-0.054706931,1.973018238,C
247,-0.062324881,0.761439964,ARMP,-0.054706931,1.973018238,C
248,-0.062199311,0.776062389,ARNA,-0.054623217,1.994015364,C
249,-0.062157454,0.78093653,AROC,-0.05458136,2.004513927,C
250,-0.061990026,0.800433096,AROW,-0.054539503,2.015012489,C
251,-0.061864456,0.815055521,ARPO,-0.054497646,2.025511052,C
252,-0.061864456,0.815055521,ARR,-0.05445579,2.036009615,C
253,-0.061487744,0.858922794,ARTNA,-0.054162791,2.109499555,C
254,-0.061445887,0.863796936,ARTW,-0.054079078,2.13049668,C
255,-0.06140403,0.868671077,ARW,-0.053995364,2.151493806,C
256,-0.061236603,0.888167643,ARWR,-0.053953507,2.161992369,C
257,-0.061152889,0.897915926,ASB,-0.05391165,2.172490932,C
258,-0.061069175,0.907664209,ASC,-0.053827936,2.193488057,C
259,-0.061069175,0.907664209,ASFI,-0.053827936,2.193488057,C
260,-0.060985461,0.917412492,ASGN,-0.05378608,2.20398662,C
261,-0.060943605,0.922286634,ASH,-0.053744223,2.214485183,C
262,-0.06060875,0.961279766,ASIX,-0.053660509,2.235482309,C
263,-0.060315751,0.995398756,ASM,-0.053325654,2.319470811,C
264,-0.060273895,1.000272898,ASMB,-0.053200083,2.3509665,C
265,-0.060190181,1.010021181,ASNA,-0.05311637,2.371963626,C
266,-0.059995293,1.032715428,ASPN,-0.052739658,2.466450691,C
267,-0.059897183,1.047807202,ASPS,-0.052614087,2.49794638,C
268,-0.059855326,1.05424581,ASPU,-0.052530373,2.518943505,C
269,-0.059604185,1.092877458,ASRT,-0.052488517,2.529442068,C
270,-0.059520471,1.105754674,ASRV,-0.052488517,2.529442068,C
271,-0.05926933,1.144386322,ASTC,-0.05244666,2.539940631,C
272,-0.05926933,1.144386322,ASTE,-0.052321089,2.571436319,C
273,-0.059101902,1.170140754,ASUR,-0.052279232,2.581934882,C
274,-0.059018188,1.18301797,ASYS,-0.052279232,2.581934882,C
275,-0.058850761,1.208772402,AT,-0.052279232,2.581934882,C
276,-0.058808904,1.21521101,ATCO,-0.051986234,2.669550799,C
277,-0.058767047,1.221649618,ATEC,-0.051651379,2.773123197,C
278,-0.058767047,1.221649618,ATEN,-0.051567665,2.799016296,C
279,-0.05859962,1.24740405,ATEX,-0.051525809,2.811962846,C
280,-0.058557763,1.253842658,ATGE,-0.051442095,2.837855946,C
281,-0.058515906,1.260281266,ATH,-0.051400238,2.850802495,C
282,-0.058348479,1.286035698,ATI,-0.051400238,2.850802495,C
283,-0.058264765,1.298912914,ATKR,-0.051358381,2.863749045,C
284,-0.058097337,1.324667346,ATLC,-0.051316524,2.876695595,C
285,-0.057971767,1.343983169,ATLO,-0.051316524,2.876695595,C
286,-0.057846196,1.363298993,ATNI,-0.051149097,2.928481793,C
287,-0.057804339,1.369737601,ATNM,-0.050939812,2.993214542,C
288,-0.057804339,1.369737601,ATNX,-0.050939812,2.993214542,C
289,-0.057720625,1.382614817,ATO,-0.050939812,2.993214542,C
290,-0.057720625,1.382614817,ATOM,-0.050897955,3.006161092,C
291,-0.057469484,1.421246465,ATOS,-0.050856099,3.019107641,C
292,-0.057406118,1.430993775,ATR,-0.050856099,3.019107641,C
293,-0.057176486,1.476618221,ATRA,-0.050814242,3.032054191,C
294,-0.057134629,1.484934569,ATRC,-0.050814242,3.032054191,C
295,-0.057134629,1.484934569,ATRI,-0.050688671,3.07089384,C
296,-0.057050916,1.501567265,ATRO,-0.0505631,3.109733489,C
297,-0.056967202,1.518199962,AVB,-0.0505631,3.109733489,C
298,-0.056967202,1.518199962,AVCO,-0.050521244,3.122680039,C
299,-0.056967202,1.518199962,AVD,-0.050521244,3.122680039,C
300,-0.056883488,1.534832658,AVEO,-0.050521244,3.122680039,C
301,-0.05659049,1.593047096,AVGO,-0.050311959,3.187412787,C
302,-0.056548633,1.601363444,AVGR,-0.050270102,3.200359337,C
303,-0.056548633,1.601363444,AVID,-0.050270102,3.200359337,C
304,-0.056423062,1.626312488,AVNS,-0.050228246,3.213305887,C
305,-0.056423062,1.626312488,AVNW,-0.050144532,3.239198986,C
306,-0.056004494,1.70947597,AVT,-0.050018961,3.278038635,C
307,-0.055878923,1.734425015,AVXL,-0.050018961,3.278038635,C
308,-0.055544068,1.800955801,AVY,-0.049935247,3.303931735,C
309,-0.055376641,1.834221193,AVYA,-0.049935247,3.303931735,C
310,-0.055292927,1.85085389,AWI,-0.049893391,3.316878284,C
311,-0.055292927,1.85085389,AWK,-0.049893391,3.316878284,C
312,-0.05525107,1.859170238,AWR,-0.049851534,3.329824834,C
313,-0.055209213,1.867486586,AWRE,-0.049684106,3.381611033,C
314,-0.055167356,1.875802935,AWX,-0.049642249,3.394557583,C
315,-0.054958072,1.917384676,AX,-0.049642249,3.394557583,C
316,-0.054816942,1.945425065,AXAS,-0.049642249,3.394557583,C
317,-0.054706931,1.973018238,AXDX,-0.049600392,3.409912611,C
318,-0.054706931,1.973018238,AXE,-0.049432965,3.472255226,C
319,-0.054623217,1.994015364,AXGN,-0.049432965,3.472255226,C
320,-0.05458136,2.004513927,AXGT,-0.049391108,3.48784088,C
321,-0.054539503,2.015012489,AXL,-0.049265537,3.534597841,C
322,-0.054497646,2.025511052,AXP,-0.049181824,3.565769149,C
323,-0.05445579,2.036009615,AXR,-0.049139967,3.581354803,C
324,-0.054162791,2.109499555,AXS,-0.049056253,3.61252611,C
325,-0.054079078,2.13049668,AXSM,-0.048805112,3.706040033,C
326,-0.053995364,2.151493806,AXTA,-0.048805112,3.706040033,C
327,-0.053953507,2.161992369,AXTI,-0.048805112,3.706040033,C
328,-0.05391165,2.172490932,AXU,-0.048763255,3.721625687,C
329,-0.053827936,2.193488057,AY,-0.048721398,3.737211341,C
330,-0.053827936,2.193488057,AYI,-0.048721398,3.737211341,C
331,-0.05378608,2.20398662,AYTU,-0.0484284,3.846310918,C
332,-0.053744223,2.214485183,AYX,-0.048302829,3.893067879,C
333,-0.053660509,2.235482309,AZO,-0.048260973,3.908653533,C
334,-0.053325654,2.319470811,AZPN,-0.048177259,3.939824841,C
335,-0.053200083,2.3509665,AZRE,-0.047967974,4.01775311,C
336,-0.05311637,2.371963626,AZRX,-0.047926118,4.033338763,C
337,-0.052739658,2.466450691,AZZ,-0.047884261,4.048924417,C
338,-0.052614087,2.49794638,B,-0.047884261,4.048924417,C
339,-0.052530373,2.518943505,BA,-0.047842404,4.064510071,C
340,-0.052488517,2.529442068,BAC,-0.047800547,4.080095725,C
341,-0.052488517,2.529442068,BAH,-0.04775869,4.095681379,C
342,-0.05244666,2.539940631,BAM,-0.047716833,4.111267033,C
343,-0.052321089,2.571436319,BANC,-0.047674976,4.126852686,C
344,-0.052279232,2.581934882,BAND,-0.04763312,4.14243834,C
345,-0.052279232,2.581934882,BANF,-0.047591263,4.158023994,C
346,-0.052279232,2.581934882,BANR,-0.047549406,4.173609648,C
347,-0.052227767,2.594843426,BAP,-0.047507549,4.189195302,C
348,-0.051986234,2.669550799,BASI,-0.047381978,4.235952263,C
349,-0.051651379,2.773123197,BATRA,-0.047340121,4.251537917,C
350,-0.051567665,2.799016296,BATRK,-0.047298265,4.267123571,C
351,-0.051525809,2.811962846,BAX,-0.047298265,4.267123571,C
352,-0.051442095,2.837855946,BB,-0.047256408,4.282709225,C
353,-0.051400238,2.850802495,BBBY,-0.047130837,4.329466186,C
354,-0.051400238,2.850802495,BBCP,-0.04696341,4.397390047,C
355,-0.051358381,2.863749045,BBDC,-0.046754125,4.488899458,C
356,-0.051316524,2.876695595,BBGI,-0.046628555,4.543805104,C
357,-0.051316524,2.876695595,BBI,-0.046544841,4.580408868,C
358,-0.051149097,2.928481793,BBQ,-0.04641927,4.635314515,C
359,-0.050939812,2.993214542,BBSI,-0.046377413,4.653616397,C
360,-0.050939812,2.993214542,BBW,-0.0462937,4.690220161,C
361,-0.050939812,2.993214542,BBX,-0.046168129,4.745125807,C
362,-0.050897955,3.006161092,BDC,-0.046126272,4.76342769,C
363,-0.050856099,3.019107641,BDGE,-0.046084415,4.781729572,C
364,-0.050856099,3.019107641,BDL,-0.046042558,4.800031454,C
365,-0.050814242,3.032054191,BDN,-0.045958845,4.836635218,C
366,-0.050814242,3.032054191,BDSI,-0.045833274,4.891540864,C
367,-0.050688671,3.07089384,BDX,-0.04574956,4.928144629,C
368,-0.0505631,3.109733489,BEAT,-0.045665847,4.964748393,C
369,-0.0505631,3.109733489,BECN,-0.045665847,4.964748393,C
370,-0.050521244,3.122680039,BELFA,-0.045582133,5.001352157,C
371,-0.050521244,3.122680039,BELFB,-0.045582133,5.001352157,C
372,-0.050521244,3.122680039,BEN,-0.045498419,5.037955922,C
373,-0.050311959,3.187412787,BERY,-0.045498419,5.037955922,C
374,-0.050270102,3.200359337,BF/A,-0.045498419,5.037955922,C
375,-0.050270102,3.200359337,BFAM,-0.045456562,5.056257804,C
376,-0.050228246,3.213305887,BFC,-0.045372848,5.092861568,C
377,-0.050144532,3.239198986,BFIN,-0.045289135,5.129465332,C
378,-0.050018961,3.278038635,BFS,-0.045163564,5.184370979,C
379,-0.050018961,3.278038635,BFST,-0.045121707,5.202672861,C
380,-0.049935247,3.303931735,BFYT,-0.04507985,5.220974743,C
381,-0.049935247,3.303931735,BG,-0.04507985,5.220974743,C
382,-0.049893391,3.316878284,BGCP,-0.044912423,5.294182271,C
383,-0.049893391,3.316878284,BGFV,-0.044912423,5.294182271,C
384,-0.049851534,3.329824834,BGG,-0.044912423,5.294182271,C
385,-0.049684106,3.381611033,BGI,-0.044870566,5.312484154,C
386,-0.049642249,3.394557583,BGS,-0.044828709,5.330786036,C
387,-0.049642249,3.394557583,BGSF,-0.044828709,5.330786036,C
388,-0.049642249,3.394557583,BH,-0.044828709,5.330786036,C
389,-0.049638592,3.395688953,BH/A,-0.044786852,5.349087918,C
390,-0.049600392,3.409912611,BHB,-0.044577568,5.440597328,C
391,-0.049432965,3.472255226,BHC,-0.044535711,5.458899211,C
392,-0.049432965,3.472255226,BHE,-0.044493854,5.477201093,C
393,-0.049391108,3.48784088,BHF,-0.044493854,5.477201093,
394,-0.049265537,3.534597841,BHLB,-0.044451997,5.496023034,
395,-0.049181824,3.565769149,BHR,-0.04441014,5.51696557,
396,-0.049139967,3.581354803,BHTG,-0.044368284,5.537908105,
397,-0.049056253,3.61252611,BHVN,-0.044326427,5.558850641,
398,-0.048805112,3.706040033,BIG,-0.044326427,5.558850641,
399,-0.048805112,3.706040033,BIIB,-0.044117142,5.663563319,
400,-0.048805112,3.706040033,BIMI,-0.044033429,5.705448391,
401,-0.048763255,3.721625687,BIO,-0.044033429,5.705448391,
402,-0.048721398,3.737211341,BIOC,-0.044033429,5.705448391,
